Hn,H
18425.441472154045, 597.0164092969444
75169.46816093009, 601.9016888334536
115188.55986578479, 601.9016888334536
435833.8388582371, 601.9016888334536
667865.2046782775, 601.9016888334536
2526971.917471113, 606.786968369961
7438272.581919054, 3741.9151109243167
9561191.430482868, 3664.971958224307
17466578.15579707, 3465.4897104835427
25454684.454029836, 607.2310846914625
24208045.831306335, 3366.9699064972865
74927180.68877284, 3028.66429859407
126947230.96277332, 614.4638362130463
269614350.78143764, 2583.231489425988
346563586.07949924, 2512.0459876082923
699994643.0772628, 2298.4894821552043
736042177.1839315, 621.4428069794867
899776488.2995883, 2223.8144949542884
1728376860.6432571, 2010.2579895012004
2221663947.728533, 1932.3261492759448
2715878311.1004305, 673.4044165950781
4267584905.04236, 1708.7664523909589
4161770983.354894, 697.16463979537
5349560482.417633, 1632.695671036754
10021158065.867903, 1419.83706266031
14242092634.349915, 777.7717521477607
12881244881.478903, 1336.3220458219039
18772310232.059433, 1153.9382764589172
22767749225.968372, 840.4669260700375
24663775201.47811, 996.1089494163407
26717696209.304325, 918.2879377431891